FRESH,GROCERY,FROZEN,HOSTEL_OR_RETAIL
33039,5563.5,8448,0
33046.5,127,10539,0
33056.5,1346,57884,0
33072,13699,10155,0
33210,7198,3915,1
33222.5,1552,56352,0
33234,1380.5,26803,0
33256.5,4003,55906,0
33354,10130.5,174650,0
33472,60705,1363,1
33536,75955,375.5,1
33625,59702,25259,0
33653.5,730.5,23128,0
33662,62146,502.5,1
33668.5,111921,2072,1
33671.5,511.5,24103,0
33742.5,78090,853.5,1
33756.5,80591,1644.5,1
33774,612.5,33584,0
33820.5,1491.5,44755,0
33822,1124,22323,0
33862.5,2466,66453,0
33863.5,15466,6873,1
33869,97565,13909,1
33914.5,57429,1626,1
33930,64767,1344,1
33947.5,43746,858,1
33948,3111,24405,0
34029,21042,5373,0
34070.5,4681,699.5,1
34089,38065,3036.5,1
34146.5,3930.5,75389,0
34153,6964,4479,0
34182.5,486.5,39655,0
34187,11570,9629,0
34217,102113,67826,0
34221,4757,9510,0
34248.5,4560,13762,0
34252.5,291.5,26031,0
34275,2436,50952,0
34282.5,1957.5,6388,0
34388,33586,6746,1
34495,1006.5,30451,0
34543,80611,2495.5,1
34567,5189,46046,0
34685,1651,800,0
34772.5,2794.5,50045,0
34833.5,4323,15988,0
34853,34792,42,1
34875,106822,1594,1
34881,853.5,45038,0
34893,8654,121641,0
34907,4339.5,24777,0
34922,56101,980,1
34924.5,4976.5,60747,0
34924.5,67663,498,1
34937,3253.5,15382,0
34942,2947.5,57125,0
34990,1626,29317,0
35026,3457.5,15275,0
35045.5,59797,12890,1
35169,6334,56604,0
35251.5,93415,3324.5,1
35257,77250,35622,1
35267.5,78781,881.5,1
35296,34931,55.5,1
35330,26866,2616,1
35377.5,7965,70523,0
35415.5,1240,42162,0
35468.5,122127,2337,1
35515.5,141313,917,1
35520,3069.5,53668,0
35586,12311,2809,1
35598,7326,6130,0
35604,3193.5,25962,0
35609,74196,3547.5,1
35641,535.5,46924,0
35671,29212,37531,0
35736.5,5973,48604,0
35787,3672,28834,0
35840.5,2771.5,39847,0
35855.5,2622,15096,0
35888.5,1112,68947,0
35977.5,3663,61473,0
35984,2364.5,33252,0
36030.5,92826,941,1
36038,10790,1365,1
36079.5,10547,8622,0
36080.5,45009,1492,1
36087,77797,1469.5,1
36101.5,83432,38489,0
36154,4519.5,54316,0
36174,670.5,62760,0
36216.5,7258,1834,1
36284,3114.5,71275,0
36286,12091,294,1
36290,1470.5,55333,0
36295,51268,21576,1
36333,2153.5,46065,0
36374,1464,12164,0
36376.5,1605,9498,0
36441,77602,970.5,1
36455,17645,1128,1
36488.5,45.5,66779,0
36502.5,211904,4394,1
36520,2331,50452,0
36551,2437,59023,0
36570,2443,18906,0
36610.5,126,12986,0
36629.5,99162,69063,0
36632,3556.5,2049,0
36639.5,4045.5,72096,0
36677.5,857,60701,0
36712,2603.5,46707,0
36762,1.5,25726,0
36894,73328,25340,1
36900,4604,127,0
36919.5,98100,29765,0
36931.5,1681,19067,0
36934,3678,70107,0
37083.5,157731,2181.5,1
37153,118424,1983,1
37178,51923,21007,1
37207,2363.5,9462,0
37219,2321.5,9997,0
37220.5,2984.5,2227,0
37236.5,4946.5,38991,0
37259.5,41010,61,1
37264.5,16712,37883,0
37265.5,59721,2270,1
37273.5,5210.5,32051,0
37295,69659,907.5,1
37309.5,4941,42713,0
37372.5,3650.5,46887,0
37447.5,1672.5,24568,0
37459.5,19216,3358,1
37467.5,1394.5,33922,0
37486.5,36935,677,1
37508.5,5194,58626,0
37523.5,4041.5,28804,0
37527,4469,9408,0
37545,2604.5,6281,0
37556.5,67560,1032.5,1
37661,15400,3635,0
37672,1132,18403,0
37683.5,63796,2186.5,1
37711,17672,42935,0
37732,1312,57062,0
37775.5,6,18667,0
37813,163,68346,0
37827,1664.5,18778,0
37851,5579.5,37436,0
37898.5,27285,635,1
37925.5,2517.5,67874,0
37944.5,2972.5,35921,0
38052,105684,75,1
38053,78669,37378,1
38094,30075,1982,1
38149,2970.5,52374,0
38164.5,34840,3392,1
38172,43652,2094,1
38175.5,24850,1320,1
38201,13792,2915,1
38210,1680.5,36639,0
38262,2332,46096,0
38277.5,35571,27696,0
38294,656,9050,0
38311,2177,61630,0
38326,39211,982.5,1
38367,53826,43348,0
38417,1025,14624,0
38422,4948.5,30446,0
38442,3288,46688,0
38444.5,35742,92.5,1
38502,125.5,52767,0
38507.5,44873,2392,1
38529.5,2911.5,60124,0
38588,275.5,71410,0
38614,178373,282.5,1
38707,4920,31922,0
38709.5,2847.5,20064,0
38735.5,53722,872.5,1
38800,3898,34104,0
38808.5,104235,1794.5,1
38846,893.5,49585,0
38853.5,5934.5,4602,0
38873,110779,786.5,1
38878,16966,432,0
38943,5428,1729,0
38995.5,42645,1615.5,1
39027.5,9243.5,44260,0
39047.5,4119.5,71989,0
39152.5,51894,27242,0
39153.5,5556,624.5,1
39183,263,37070,0
39216,2858,39098,0
39259,16074,1755.5,1
39313,2961,4787,0
39365,2964.5,10901,0
39383.5,2978.5,39135,0
39428,1547,24951,0
39460.5,280.5,50006,0
39504,58,35402,0
39595,75331,24544,0
39644,98647,2209.5,1
39681.5,1962,21674,0
39688,3644,60677,0
39693,3122,56781,0
39700,1593,40358,0
39787.5,5259,27426,0
39829,10927,2883,1
39892.5,523,35910,0
39894,81214,868.5,1
39922.5,92671,1587.5,1
39922.5,4103.5,57545,0
39927,78007,1663.5,1
39962.5,69296,45857,0
39964,2711,47671,0
40071.5,34,25192,0
40147,804.5,59709,0
40150,2100,136350,0
40151,470.5,23492,0
40264.5,2170.5,52932,0
40269,4056.5,52082,0
40298.5,1014,35520,0
40302,4616.5,57907,0
40308,45274,66,1
40334.5,30273,308,1
40381,2163,65372,0
40404.5,47012,44828,0
40423,2090,28715,0
40433.5,164,67300,0
40460.5,2278.5,25918,0
40483,3072.5,61147,0
40484.5,156370,3531,1
40487,3482,53090,0
40536.5,85711,14777,0
40601,6691,36458,0
40609,62995,579.5,1
40656,8072,69733,0
40709,4897,18711,0
40722.5,1328.5,10239,0
40732,55001,856.5,1
40771,362,76521,0
40800.5,54857,1053.5,1
40902,822.5,15131,0
40909.5,4260,47426,0
40912,3600,1042,0
40960.5,785,24914,0
40975,4861,56135,0
40981,1926.5,26739,0
41020,113111,733,1
41044,1550,44101,0
41101.5,10333,1387.5,1
41102,90312,1200,1
41110.5,2984,54139,0
41168.5,77559,1176.5,1
41217.5,59103,3790.5,1
41278,241680,288,1
41301.5,3306.5,16976,0
41318,856,54640,0
41326,418,64425,0
41365.5,3995,56694,0
41409.5,443,32857,0
41410,3239,81851,0
41504,65495,71924,0
41505,3792,38272,0
41556,73685,47362,0
41590,5368,17178,0
41628.5,6212.5,7220,0
41647,3886,67295,0
41686,1493,4802,0
41702,2214.5,68993,0
41734,84616,1159.5,1
41754,4510.5,51453,0
41770.5,974.5,52971,0
41777,1218,55835,0
41800,32034,3232,1
41814,80030,12759,0
41835,103649,21204,1
41836.5,708,32995,0
41891.5,1552,58757,0
41897,406.5,23547,0
41930,1218.5,15660,0
41939.5,103566,1652.5,1
41964.5,99428,2766,1
42001,79554,58412,0
42036.5,1849,11835,0
42046,70626,2357.5,1
42118,32016,1363,1
42136,92211,1684,1
42162.5,14097,18131,0
42231.5,8573,18307,0
42235,2059,7108,0
42256,119645,208.5,1
42264,91122,894.5,1
42289,2799,53317,0
42303,222.5,65918,0
42345.5,35765,540.5,1
42356,1312.5,49963,0
42364,2048.5,61364,0
42372.5,1662.5,14080,0
42428,584.5,27099,0
42429.5,1563.5,56519,0
42436.5,57803,2533.5,1
42460,96177,29662,0
42478.5,1409.5,18010,0
42482.5,100758,3905,1
42491,57381,1367,1
42586,3638,45112,0
42594,94210,2320.5,1
42623,164402,1458.5,1
42640.5,5282.5,67524,0
42663.5,79659,1354,1
42703.5,3844.5,30295,0
42742.5,62402,1308.5,1
42750,48686,152,1
42760.5,36999,1799,1
42802,3053.5,44638,0
42875,69436,1331,1
42881,1492,52544,0
42902,75829,66044,0
42902.5,1655,18780,0
42939.5,4394.5,59916,0
42964.5,3986.5,33723,0
43005,764,4510,0
43081.5,20523,1227,1
43094,471,1388,0
43134,10774,33250,0
43149.5,2353,24845,0
43159.5,5769.5,27375,0
43171.5,1206.5,14558,0
43189,2648,1034,0
43217,811,20983,0
43220.5,1643,27723,0
43226,77332,1600,1
43247,867.5,44856,0
43311,2045,44749,0
43315,39694,4736,1
43326,47096,3049,1
43337.5,1432.5,30926,0
43404,50640,16489,1
43445,8176,11830,0
43544,9490,5065,0
43673,28361,1969,1
43676.5,4637.5,16643,0
43718,639,65883,0
43771,1601,26930,0
43808.5,3332.5,33854,0
43839,24355,2052,1
43896.5,735,60413,0
43907,4109.5,64427,0
43914.5,2351,6668,0
43958,16027,13135,0
43999,76012,61875,0
44073,5214.5,25697,0
44073,5811.5,38908,0
44106,107435,1648,1
44139,4714,61874,0
44139.5,64143,70.5,1
44148,88352,1640,1
44191,8253,2995,0
44209.5,28362,1653,1
44222,3210.5,54215,0
44247.5,900,44626,0
44297.5,20268,1794,1
44301,4385,43803,0
44302,224.5,33664,0
44322,92755,4987.5,1
44379,45534,715,1
44402.5,20046,1319,1
44416,92748,4827.5,1
44428.5,3013.5,50253,0
44566,4989.5,24504,0
44596,641,3496,0
44627.5,7020.5,71138,0
44629.5,3688.5,34142,0
44644,43788,1824,1
44659.5,38709,62,1
44680,25039,597.5,1
44682,2340,61162,0
44782,8469,2540,0
44792,59161,3617,1
44809,4201.5,24601,0
44813.5,2831.5,46005,0
44840.5,608.5,42292,0
44852,5630.5,43608,0
44886,960,15460,0
44900,30018,57002,1
44937.5,88115,2772,1
44938.5,80662,40479,0
44941.5,21112,1078.5,1
45015.5,7851.5,43938,0
45024.5,1089,19442,0
45036.5,5287,31453,0
45052,5183,26210,0
45055,59078,1628,1
45057,1510,1718,0
45081,5189,321,0
45092,514,45426,0
45103.5,116195,4328,1
45131,3019.5,69665,0
45138,90979,236,1
45158.5,41800,1055,1
45173.5,24412,63568,1
45174.5,2399,18527,0
45194,4220,45471,0
45199,6582.5,70992,0
45281,87378,2476.5,1
45293.5,56363,796,1
45322,23985,50884,0
45370.5,1607,58592,0
45376,3193,75745,0
45488.5,5672,46666,0
45512,829,14289,0
45680.5,2263,40978,0
45685,3589,17392,0
45690.5,6019,50224,0
45700.5,24734,688.5,1
45760,112.5,21331,0
45778,4752.5,14119,0
45807,81.5,32132,0
45858,4955,1364,1
45882.5,69674,39882,1
45915,5876,532,1
45936,653,62020,0
45947,47349,76266,0
46002,13644,40622,0
46011,2609,1200,0
46018.5,27009,68060,0
46097,441.5,55763,0
46106,4671.5,37775,0
46128,16976,558.5,1
46159.5,1108.5,6012,0
46216.5,93443,1735,1
46240,88720,2204.5,1
46242.5,43116,1519.5,1
46296.5,1517,7937,0
46337,83389,34086,0
46341.5,27546,22,1
46376.5,26644,10348,0
46404,3160.5,50945,0
46427,75835,546.5,1
46431.5,2313,50295,0
46451,94156,832.5,1
46521.5,92.5,70851,0
46552,2675,23710,0
46572,778,54731,0
46616,49803,2246,1
46675,3655.5,22280,0
46677,397.5,69181,0
46714.5,28759,1873.5,1
46715,501.5,10761,0
46722,5494,42693,0
46724,4639.5,50447,0
46747,43373,27665,0
46769,1852.5,42655,0
46812,4948,25251,0
46823,46260,1750,1
46901.5,1069.5,74547,0
46913,63381,3986.5,1
46934.5,94731,223.5,1
46956,70084,1216,1
46956,4531.5,59199,0
46964,11757,287,1
46974,56909,1804,1
46987,1880,52163,0
47041,884,41000,0
47055.5,99873,110,1
47071,95209,474,1
47088.5,2053,38294,0
47109.5,80018,2900.5,1
47139.5,75955,24328,1
47144.5,4156,51495,0
47153,119159,1939,1
47170,3081,9178,0
47171,2642.5,31728,0
47183,1873.5,25239,0
47227,4579.5,61837,0
47238.5,1792,40246,0
47242,23.5,38872,0
47283,267.5,32876,0
47304,934,13142,0
47380.5,142003,1499.5,1
47398,3063.5,6289,0
47442.5,2228,30620,0
47470.5,3223.5,30652,0
47480,3090.5,16337,0
47489.5,10301,4,1
47529,7931.5,19422,0
47571,136889,369,1
47589,17080,763,1
47609,2191.5,49038,0
47612,2611,53977,0
47671.5,2815.5,60311,0
47738,66417,1880.5,1
47754.5,304.5,20711,0
47759,125,26872,0
47765,60991,2168,1
47833,106615,399.5,1
47934,2658,65682,0
47937,70555,74681,0
48003,45594,35217,0
48091,5584,64485,0
48111,93048,31438,1
48126.5,1228,21743,0
48137.5,46420,1292.5,1
48138,3539.5,50334,0
48178.5,81020,2251,1
48236,69034,347,1
48244.5,69760,4469.5,1
48248,43176,326,1
48261,33538,1335,1
48266.5,6425,30009,0
48286.5,2124,20346,0
48423.5,718,35682,0
48426,3558,60698,0
48460.5,80882,1808,1
48464,4858.5,49613,0
48490,2827.5,65164,0
48498.5,85260,688.5,1
48499.5,26595,506,1
48506,3531.5,11448,0
48534,4096,28201,0
48559,46130,62377,0
48565.5,28661,2543,1
48625.5,47497,2029,1
48626,49996,453.5,1
48677.5,133198,701.5,1
48704.5,322,36752,0
48754,1498,57999,0
48813,1285,51218,0
48819,98432,623.5,1
48833,5296,39022,0
48834.5,112789,1857,1
48862,5429,15082,0
48973.5,216,36563,0
49005.5,3327,35128,0
49026,833,45815,0
49047,106297,68524,1
49051.5,675.5,68530,0
49075,7715,28298,0
49091.5,86,30807,0
49104.5,2370,46696,0
49128,106656,1852.5,1
49133,4082,32516,0
49139,397.5,28576,0
49151,22081,36259,0
49173,49468,320.5,1
49177,7186.5,74309,0
49298,13123,1127.5,1
49312,3290.5,44275,0
49371.5,233.5,38935,0
49413.5,66506,1497,1
49436,2159,57982,0
49450,1408.5,64508,0
49453.5,57,46772,0
49541.5,2574.5,54645,0
49565,1264.5,71968,0
49569,817,32690,0
49609,7899,54317,0
49632.5,382,15968,0
49693.5,3892,42770,0
49706,3071.5,59233,0
49716,24019,1415,1
49735.5,99687,1906.5,1
49758.5,3836,35439,0
49765,3184,59633,0
49785.5,2335,22435,0
49816,2255.5,10117,0
49833,28186,869.5,1
49854,229.5,40981,0
49912,1499,36120,0
49941,2875,39785,0
49977.5,2865.5,41579,0
50008,2613.5,52648,0
50056,5295,47914,0
50074,85276,2590.5,1
50110.5,23218,43998,0
50136,2967,55889,0
50140.5,1816,67655,0
50156.5,1286.5,39228,0
50178.5,2294.5,7236,0
50180.5,1683,31951,0
50195.5,62631,232,1
50201,81828,983.5,1
50256,107055,23099,0
50272,5655.5,52440,0
50324,59293,641,1
50381,5383,50213,0
50434,56901,294,1
50439,4098.5,27885,0
50460,23689,1332.5,1
50469,1000,34408,0
50513,35012,1028.5,1
50530.5,63011,5620.5,1
50543.5,101285,3698,1
50577,10157,1801.5,1
50628,4854.5,47254,0
50632.5,4801,30742,0
50641,1327.5,80687,0
50737,6195,35955,0
50746.5,71574,17229,0
50758,3953,111741,0
50771,5130.5,59427,0
50783,1600,7935,0
50821,75068,654.5,1
50913.5,91006,64387,0
50914,102715,1918,1
50981.5,2240,63030,0
51101,100484,316,1
51118.5,74359,1633,1
51174,142324,3511,1
51189.5,4361,37924,0
51275,53852,13694,1
51286.5,4538,33572,0
51324,5103.5,5962,0
51362.5,95844,722.5,1
51409.5,107510,1147,1
51438.5,34636,121.5,1
51504,1066.5,48020,0
51517.5,2950.5,45698,0
51525,3943.5,40077,0
51563,1709.5,46097,0
51599.5,692.5,25740,0
51611,6035.5,48375,0
51693.5,4086,55380,0
51727,121,22666,0
51734,657,8101,0
51757.5,98783,266,1
51763,573.5,27413,0
51809,4989.5,80136,0
51875.5,12301.5,44093,0
51886,4202,42879,0
51925.5,1878,35929,0
51943,3935,87643,0
51985,3806.5,26207,0
51998,1956.5,66233,0
52002.5,1834,32100,0
52060.5,53690,2157.5,1
52120.5,119964,1679,1
52129.5,102508,1219.5,1
52145,104454,15563,0
52177,1034,41288,0
52180.5,1474,24123,0
52191.5,3313,30956,0
52241,2535.5,39889,0
52288,117132,372,1
52313,3779,5243,0
52334.5,1727,11594,0
52349.5,6949,13135,0
52385,2632.5,33850,0
52443,2406,51420,0
52472.5,2951.5,49504,0
52481,2830,61573,0
52509.5,2981.5,63090,0
52510,22944,823.5,1
52539.5,41191,695,1
52617.5,85861,3674,1
52644.5,305,68682,0
52746.5,621.5,65260,0
52828,6536,7368,0
52836.5,7554.5,62027,0
52955,3236,42154,0
52980,1321,15583,0
52989,25000,1135.5,1
53016.5,927.5,53500,0
53041.5,831.5,56983,0
53062,419.5,46218,0
53069.5,1490,20613,0
53071,101120,355,1
53082.5,1696.5,54145,0
53170.5,3148,27765,0
53203,2902,46554,0
53226.5,101926,431.5,1
53266.5,18034,52,1
53292,2722.5,21055,0
53332.5,1740.5,60596,0
53338,123330,2701,1
53361,90.5,24478,0
53400,1887.5,80860,0
53456,5096.5,45913,0
53463.5,817,25036,0
53467.5,1769.5,23050,0
53487.5,865,37714,0
53507,202.5,52558,0
53512,1153,68581,0
53538,2610,72068,0
53602,2779.5,47931,0
53613.5,3553.5,23028,0
53624,1265.5,58130,0
53707,12027,861.5,1
53737,165203,2360,1
53756.5,23415,43480,1
53813,4052,34755,0
53832,5319.5,60937,0
53848.5,65512,352,1
53850.5,731,27372,0
53870,4544.5,52261,0
53887.5,3647.5,59761,0
53888.5,1258,68774,0
53952.5,117201,1782.5,1
53976,17579,60202,0
54044,6918.5,16742,0
54053,2178.5,36076,0
54098,2409,41685,0
54229,896.5,53608,0
54240.5,989,25365,0
54251,39491,1406.5,1
54291.5,3,21530,0
54299,26889,2164.5,1
54344,73376,2588,1
54346,87196,1826.5,1
54362.5,19580,36243,0
54432,4252,5970,0
54448.5,3056,35243,0
54468.5,3442.5,64591,0
54470.5,4476.5,74884,0
54530,2054.5,25157,0
54556,251.5,48645,0
54611,101542,75377,0
54638.5,4461,38116,0
54655.5,4432,21385,0
54656,42371,8327,0
54697,4174,41591,0
54716.5,2965.5,30449,0
54719,620.5,23414,0
54756,22504,3824.5,1
54756.5,112875,708,1
54820,2594.5,57732,0
54826.5,3470.5,14892,0
54842,2054.5,17905,0
54854,58734,2266,1
54860.5,1454,108415,0
54900,2191.5,39231,0
54905,199223,948.5,1
54930,48256,988,1
54952.5,79627,935.5,1
54958,72169,102,1
55020,2540.5,87206,0
55023,61837,3024,1
55048,3329.5,28768,0
55058,2289,74969,0
55110,13626,60869,0
55181,3366,58768,0
55194.5,5071.5,76380,0
55201.5,57657,3812,1
55204,2184.5,20947,0
55242,1165.5,60947,0
55266.5,5118,21251,0
55308,86329,504,1
55321,49287,242,1
55323,70940,26509,0
55354,105470,398,1
55388.5,93583,7376,1
55396,5546,47126,0
55525,1643.5,26148,0
55559.5,10023,1682,1
55572.5,86201,647.5,1
55598.5,750.5,68785,0
55648,2141,17895,0
55653,22906,919,1
55691,483.5,19129,0
55726,433,9096,0
55747,76450,66890,0
55788.5,6033,39816,0
55838.5,119.5,67516,0
55856.5,87800,61750,0
55873,1056,58409,0
55876,1789,21780,0
55931.5,127,55578,0
56010.5,4355,8885,0
56014,1453.5,9018,0
56077.5,2947.5,37982,0
56140,1491.5,11866,0
56187,3697.5,84578,0
56206.5,4544.5,39065,0
56265,5630.5,79597,0
56285,668.5,44870,0
56366,50610,19201,0
56369,6339,42964,0
56378.5,111.5,16400,0
56379.5,23544,575,1
56431,82818,3053,1
56463,5884.5,4075,0
56505,76284,14034,0
56613.5,2072,52492,0
56640.5,379.5,36170,0
56729,92198,1177.5,1
56733.5,129.5,4517,0
56759,100002,762,1
56846,3062,21391,0
56904.5,21311,26935,0
56906.5,712,63934,0
56928,51683,2702,1
56928,103982,2156.5,1
56930,4904.5,18966,0
56940.5,3364.5,33994,0
56952.5,2094.5,35786,0
56977.5,2532,16198,0
57006.5,42074,1989.5,1
57012,39202,2062,1
57065.5,7125,22986,0
57068.5,1884,47722,0
57074,4328.5,37056,0
57194.5,53953,1245,1
57265,61498,29600,0
57271,2644,57504,0
57272.5,6386.5,36257,0
57297,50855,1965,1
57383,727,51944,0
57386,115,62525,0
57388.5,1457.5,92673,0
57433,41868,813,1
57456.5,1931.5,43404,0
57473.5,20,10043,0
57486.5,65674,8482,0
57512,4051.5,49669,0
57539,1076.5,44391,0
57589,5536.5,21474,0
57592,28497,145946,0
57603,3434,31044,0
57622.5,80574,97212,0
57638.5,4349,37535,0
57640,1149.5,51301,0
57747.5,969,34419,0
57779,107913,3329.5,1
57824,81293,2234,1
57926,4143.5,58415,0
57954,4078.5,42080,0
57970,953.5,22635,0
57970.5,3112,11796,0
57972,3016,58439,0
58083.5,523.5,40230,0
58094,1199.5,9404,0
58109.5,3509.5,8161,0
58122,3655.5,3185,0
58194,2671,42708,0
58195.5,52766,2109,1
58245,97021,16495,1
58267.5,95137,2512,1
58288,59148,43,1
58319.5,8357.5,29360,0
58342.5,4373,27534,0
58354,1618,19470,0
58359,20800,3078.5,1
58363,2611.5,36971,0
58370,4913,16578,0
58398,131202,61790,0
58479,5596,23171,0
58486,2294,50411,0
58488.5,3431,42119,0
58510.5,3279,62716,0
58519,59426,2175,1
58541.5,2017,2801,0
58556,79039,806,1
58601,141,31183,0
58603.5,66817,137,1
58632,4780.5,24432,0
58645.5,1489,11804,0
58674.5,2578.5,12397,0
58722,97280,152178,0
58727,447,25215,0
58727,87146,18142,0
58752,48449,1624.5,1
58783.5,128818,343,1
58794,3418.5,60744,0
58803,88071,601.5,1
58808,4021.5,57981,0
58810,1830,35550,0
58831,1147.5,13818,0
58840,683,45271,0
58878.5,74578,1080,1
58920,83613,1694.5,1
58982,7336,3012,0
59015.5,4818.5,31782,0
59039,2941,32120,0
59040,39.5,87378,0
59082,3679.5,28324,0
59097.5,15495,919,1
59121,310.5,75692,0
59151,3320,18434,0
59154,2831,9666,0
59169,64,41522,0
59181,514.5,59818,0
59197.5,58453,2476,1
59265.5,1155.5,28741,0
59286,3586.5,33885,0
59317.5,55600,63403,1
59332.5,3901,10329,0
59416,92770,120.5,1
59428.5,205,30766,0
59467.5,80418,2460,1
59489,1067.5,32305,0
59489.5,2880,70450,0
59540,46534,1436.5,1
59586,1963.5,49648,0
59630,902,10002,0
59630.5,10440,68707,0
59635.5,1773.5,61151,0
59650.5,4486,25249,1
59653,9212.5,2210,0
59654,64302,543,1
59688.5,818,26311,0
59697,2742.5,35128,0
59740,281.5,43234,0
59827,1813,17884,0
59895.5,3836,60883,0
59941.5,439.5,37288,0
59962,1128,37617,0
59982,11887,2605.5,1
59985.5,105911,2036,1
59987.5,259,27336,0
60008,1542.5,58438,0
60009.5,1914.5,28330,0
60016.5,35265,553,1
60215.5,3234,41573,0
60224.5,75187,1683,1
60295,545.5,50126,0
60326,6001,54832,0
60374,1756.5,33646,0
60411,47415,931,1
60415,3350.5,58564,0
60464,78661,2035,1
60484,3937.5,17748,0
60485.5,652,46038,0
60487,84262,716,1
60570,51858,1658,1
60573.5,102820,487.5,1
60597,6137.5,52039,0
60615,6506.5,41612,0
60673.5,73454,290.5,1
60689.5,6704.5,58914,0
60707,2509.5,49485,0
60762,1159,26201,0
60800,63620,1277,1
60827.5,7014,2048.5,1
60937,40237,2993.5,1
60956.5,1258.5,50788,0
61008.5,2624,35092,0
61018.5,2609.5,10689,0
61079.5,2188.5,58963,0
61106.5,2634,62496,0
61157.5,2702.5,39047,0
61173.5,2597.5,24832,0
61181.5,32560,2054,1
61185.5,168.5,36426,0
61240.5,2571,33963,0
61317,110084,1373,1
61389,4789,43438,0
61396,61321,3239,1
61400,68903,1974.5,1
61476,89768,12376,1
61513.5,3131,43723,0
61528.5,52504,2276,1
61545.5,3595.5,18909,0
61551,370.5,66244,0
61551,56683,1481.5,1
61571,1890.5,40264,0
61579.5,108293,818.5,1
61674.5,19333,2076.5,1
61703.5,83815,1234,1
61711.5,2211,99184,0
61717.5,73549,3052.5,1
61764,1037,61283,0
61857.5,2946,61517,0
61862.5,103074,10570,0
61873.5,3531.5,19439,0
61900,82882,1548,1
61911.5,121980,51851,1
61931.5,3306.5,6489,0
61940,3538,6759,0
61946,419.5,46459,0
61966.5,1213,15679,0
62061.5,8714,25327,0
62084,8906,18028,0
62108,469,42725,0
62114,2177,53871,0
62130,2036.5,73186,0
62135,55554,657.5,1
62155.5,2963,25587,0
62156,670.5,60026,0
62184,77274,65437,0
62209.5,1690.5,49601,0
62245,4771,35618,0
62265.5,3253,57103,0
62315.5,1600,3220,0
62379,1316.5,24841,0
62480.5,23343,332.5,1
62496,5662.5,30477,0
62524.5,77405,918,1
62533.5,78513,1180.5,1
62568,4724.5,35828,0
62621.5,2478,75663,0
62637.5,3323.5,18343,0
62641,8117,6312,0
62674.5,296,58106,0
62722.5,65966,2560.5,1
62794.5,33559,2133,1
62834.5,7847.5,13736,0
62870.5,112130,221.5,1
62911,62212,1830.5,1
62921,1922.5,11738,0
62992,706,65936,0
63027.5,66609,24705,0
63050.5,74409,26067,0
63080,1855.5,23153,0
63101.5,3933.5,35237,0
63150.5,5507.5,43457,0
63168.5,6561.5,4804,0
63185.5,98637,1600.5,1
63211.5,63941,2822,1
63228,28039,1679,1
63237.5,564.5,16403,0
63296,1338.5,59415,0
63328,30177,244.5,1
63328.5,30167,703,1
63345.5,43951,47,1
63349.5,4707,19384,0
63402,14440,1987,1
63416.5,4162,68311,0
63442,54863,2299.5,1
63467.5,1104,56709,0
63468.5,48045,1114,1
63525,7986,36478,0
63561,4284.5,38008,0
63566.5,36823,2580.5,1
63575.5,4711,22496,0
63602.5,73892,1930,1
63639,32213,2268,1
63673,3913.5,24662,0
63677.5,533,50021,0
63697.5,68839,2953,1
63706,1832.5,60440,0
63726,4107.5,61997,0
63781,144229,142,1
63808,1594,64417,0
63859.5,2280.5,9675,0
63878.5,68246,508,1
63916,116623,2197.5,1
63918.5,4072,42124,0
63957,3508.5,76378,0
63967,2124,6422,0
63985.5,1315,61895,0
64023,3267.5,40707,0
64066.5,1826,50278,0
64098,1402.5,57433,0
64101,14115,635.5,1
64122,68681,15854,1
64134,6315.5,37240,0
64135.5,119361,1911,1
64240,10545,2472,1
64261,3489,15657,0
64310.5,1189,8107,0
64323,3387,30717,0
64395.5,5525,57827,0
64462,91228,79402,0
64466.5,81675,3543.5,1
64523,337,37383,0
64553.5,2049.5,39365,0
64554,2487,53261,0
64620.5,34161,603,1
64628,56211,67683,0
64646,102077,2256,1
64648.5,4115,44864,0
64657.5,75886,718,1
64670.5,82419,1055,1
64722,28781,1687.5,1
64723,2869,21952,0
64741.5,95568,2719.5,1
64742.5,1511,59038,0
64835,77093,127,1
64880,57712,13194,0
64880,21701,2764.5,1
65062,2519.5,48066,0
65147.5,7368,37872,0
65206,104680,27733,0
65214,81196,3284,1
65233,69545,1699,1
65245,74576,2001.5,1
65258,92780,1026,1
65272,2728,46240,0
65275,27513,899.5,1
65277.5,2099.5,30878,0
65326,19686,2261,1
65372,56844,2206,1
65395.5,152726,5571,1
65418,67,25235,0
65420.5,34675,2947.5,1
65447,56.5,46224,0
65464.5,1531,69409,0
65480.5,4551.5,8246,0
65550.5,6168.5,42077,0
65553.5,70359,1660.5,1
65554,83135,1145,1
65591.5,2106,38411,0
65635,337,78257,0
65667.5,396,19033,0
65739.5,149354,5622,1
65749.5,2588,30550,0
65750.5,6915,53184,0
65752.5,62031,3674.5,1
65884,6921,16444,0
65953.5,6483,49151,0
65963.5,4079,29854,0
65978,96777,2397,1
66011.5,5269.5,18861,0
66021,4877,29943,0
66030.5,60765,1222.5,1
66055,98423,1606,1
66068,1273.5,74094,0
66166,1629,49899,0
66184.5,3279,16652,0
66245.5,43833,1581,1
66248,1034.5,59522,0
66263,8283,63428,0
66276,82213,59310,0
66280,2187.5,42371,0
66308,3292.5,145533,0
66399,1259.5,27051,0
66402,1033,65340,0
66402,4840.5,18643,0
